filename,workflow_name,filepath
QyXn8YC4XhtqedtT-Salesforce.json,Salesforce,/home/ubuntu/upload/QyXn8YC4XhtqedtT-Salesforce.json
U8el6RECTobvT9EY-social_media_scheduler_n8n.json,social_media_scheduler_n8n,/home/ubuntu/upload/U8el6RECTobvT9EY-social_media_scheduler_n8n.json
XEipgvOzQXfVnHn2-YouTube_Shorts_Automation.json,YouTube Shorts Automation,/home/ubuntu/upload/XEipgvOzQXfVnHn2-YouTube_Shorts_Automation.json
auFDzafNouUnMDWm-My_workflow_3.json,My workflow 3,/home/ubuntu/upload/auFDzafNouUnMDWm-My_workflow_3.json
avsg46C8L9VzcQOY-VR_Realtor_Schedule_VR_Tour_Automation.json,VR Realtor - Schedule VR Tour Automation,/home/ubuntu/upload/avsg46C8L9VzcQOY-VR_Realtor_Schedule_VR_Tour_Automation.json
dRmCw9Qzl96reNL2-Complete_SDR_Lead_Capture_Qualification_Agent.json,Complete SDR Lead Capture & Qualification Agent,/home/ubuntu/upload/dRmCw9Qzl96reNL2-Complete_SDR_Lead_Capture_Qualification_Agent.json
dedH2m8cS2RyeiEA-AI_Course_Creator_5_Part_System.json,AI Course Creator - 5 Part System,/home/ubuntu/upload/dedH2m8cS2RyeiEA-AI_Course_Creator_5_Part_System.json
dxWBP3NWEOqIs7tB-TikTok_Shop_Affiliate_UGC_Generator.json,TikTok Shop Affiliate UGC Generator,/home/ubuntu/upload/dxWBP3NWEOqIs7tB-TikTok_Shop_Affiliate_UGC_Generator.json
fqGQy6Qw0Mv77qFL-My_workflow_5.json,My workflow 5,/home/ubuntu/upload/fqGQy6Qw0Mv77qFL-My_workflow_5.json
fvTSbbxqgbXTCaKQ-AI_Phone_Agent_Onboarding_Appointments.json,AI Phone Agent - Onboarding & Appointments,/home/ubuntu/upload/fvTSbbxqgbXTCaKQ-AI_Phone_Agent_Onboarding_Appointments.json
gA5jhUulLgpQAser-My_Sub_workflow.json,My Sub-workflow,/home/ubuntu/upload/gA5jhUulLgpQAser-My_Sub_workflow.json
gOR0gtPHX9mCrglK-Task_management_agent_with_Google_Sheets_.json,Task management agent (with Google Sheets),/home/ubuntu/upload/gOR0gtPHX9mCrglK-Task_management_agent_with_Google_Sheets_.json
ggMpquo8sXOn6uWN-Voice_Customer_Service_Automation.json,Voice Customer Service Automation,/home/ubuntu/upload/ggMpquo8sXOn6uWN-Voice_Customer_Service_Automation.json
i3JWcSOzStAgLf4R-AI_Phone_Agent_Complete_Workflow.json,AI Phone Agent - Complete Workflow,/home/ubuntu/upload/i3JWcSOzStAgLf4R-AI_Phone_Agent_Complete_Workflow.json
j2uNoC92Jt7ClXXc-Mortgage_Brokerage_Lead_Response_System.json,Mortgage Brokerage - Lead Response System,/home/ubuntu/upload/j2uNoC92Jt7ClXXc-Mortgage_Brokerage_Lead_Response_System.json
jrUVgi6DTrgn708J-Build_your_first_AI_agent_2.json,Build your first AI agent 2,/home/ubuntu/upload/jrUVgi6DTrgn708J-Build_your_first_AI_agent_2.json
nklZ16MMIwaxoUpn-My_workflow_6.json,My workflow 6,/home/ubuntu/upload/nklZ16MMIwaxoUpn-My_workflow_6.json
noteGdZeaxBkBC7p-Build_your_first_AI_agent.json,Build your first AI agent,/home/ubuntu/upload/noteGdZeaxBkBC7p-Build_your_first_AI_agent.json
qhrRbmRTXYazWsZp-Build_your_first_AI_agent_3.json,Build your first AI agent 3,/home/ubuntu/upload/qhrRbmRTXYazWsZp-Build_your_first_AI_agent_3.json
rhoHtiQEDA9e1v4b-Advanced_Multi_Channel_Customer_Engagement_Pipeline.json,Advanced Multi-Channel Customer Engagement Pipeline,/home/ubuntu/upload/rhoHtiQEDA9e1v4b-Advanced_Multi_Channel_Customer_Engagement_Pipeline.json
tYaUutQRBTYOQVkf-My_workflow.json,My workflow,/home/ubuntu/upload/tYaUutQRBTYOQVkf-My_workflow.json
vf5DqQMULZQrINsW-My_workflow_4.json,My workflow 4,/home/ubuntu/upload/vf5DqQMULZQrINsW-My_workflow_4.json
xJltaQMuAEfWzMGJ-WhatsApp_Orders_to_CRM_Invoice.json,WhatsApp Orders to CRM/Invoice,/home/ubuntu/upload/xJltaQMuAEfWzMGJ-WhatsApp_Orders_to_CRM_Invoice.json
